hilo;m;ENTRADA CONSUMO APROXIMADA!X15;=X$1*$T15*1000
m;ENTRADA CONSUMO APROXIMADA!X5;=X$1*$T5*1000
=1;LISTADO DE COMERCIALIZADORAS!H2;=G2
m;CALCULOS!CW4;=(RESULTADO GENERACIONvsCONSUMO!A3*LISTADO DE COMERCIALIZADORAS!$G$2*LISTADO DE COMERCIALIZADORAS!$G$4*$DG$2+RESULTADO GENERACIONvsCONSUMO!A3*LISTADO DE COMERCIALIZADORAS!$G$3*LISTADO DE COMERCIALIZADORAS!$G$5*$DG$2*$DF$2+LISTADO DE COMERCIALIZADORAS!$G$12*RESULTADO GENERACIONvsCONSUMO!A3)*$DG$1
=1;LISTADO DE COMERCIALIZADORAS!H3;=G3
1;RESULTADOS FACTURAS ESTIMADAS!B12;=CALCULOS!CY16
1;RESULTADOS FACTURAS ESTIMADAS!T16;=CALCULOS!CY16
1;CALCULOS!CZ16;=SUM(CZ4:CZ15);*
mdh;CALCULOS!E4;=DATOS ENTRADA PANELES!$H$3
hilo;mdh;ENTRADA CONSUMO APROXIMADA!H12;=$X$13
hilo;mdh;ENTRADA CONSUMO APROXIMADA!H14;=$X$15
mdh;ENTRADA CONSUMO APROXIMADA!H4;=$X$5
1;LISTADO DE COMERCIALIZADORAS!I2;=H2
1;CALCULOS!CW16;=SUM(CW4:CW15);*
1;LISTADO DE COMERCIALIZADORAS!I3;=H3
1;RESULTADOS FACTURAS ESTIMADAS!B11;=CALCULOS!CZ16
1;RESULTADOS FACTURAS ESTIMADAS!S16;=CALCULOS!CZ16
CALCULOS!F4;=IF(E4>DATOS ENTRADA PANELES!$B$6*1000,DATOS ENTRADA PANELES!$B$6*1000,E4)
ENTRADA CONSUMO APROXIMADA!F12;=IF($J$1=1,I12,H12)
ENTRADA CONSUMO APROXIMADA!F14;=IF($J$1=1,I14,H14)
ENTRADA CONSUMO APROXIMADA!F4;=IF($J$1=1,I4,H4)
LISTADO DE COMERCIALIZADORAS!J2;=I2
RESULTADOS FACTURAS ESTIMADAS!Q16;=CALCULOS!CW16
LISTADO DE COMERCIALIZADORAS!J3;=I3
CALCULOS!M4;=F4+ENTRADA CONSUMO!E4
CALCULOS!G4;=E4-F4
VALOR CONSUMO PARA CALCULOS!F12;=IF($D$1=0,ENTRADA CONSUMO APROXIMADA!F12,ENTRADA CONSUMO!D12)
VALOR CONSUMO PARA CALCULOS!F14;=IF($D$1=0,ENTRADA CONSUMO APROXIMADA!F14,ENTRADA CONSUMO!D14)
VALOR CONSUMO PARA CALCULOS!F4;=IF($D$1=0,ENTRADA CONSUMO APROXIMADA!F4,ENTRADA CONSUMO!D4)
CALCULOS!CX4;=(RESULTADO GENERACIONvsCONSUMO!A3*LISTADO DE COMERCIALIZADORAS!$J$2*LISTADO DE COMERCIALIZADORAS!$J$4*$DG$2+RESULTADO GENERACIONvsCONSUMO!A3*LISTADO DE COMERCIALIZADORAS!$J$3*LISTADO DE COMERCIALIZADORAS!$J$5*$DG$2*$DF$2+LISTADO DE COMERCIALIZADORAS!$J$12*RESULTADO GENERACIONvsCONSUMO!A3)*$DG$1
RESULTADO GENERACIONvsCONSUMO!C3;=SUMIF(CALCULOS!$A$4:$A$8763,$B3,CALCULOS!M$4:M$8763)/1000;*
RESULTADO GENERACIONvsCONSUMO!D3;=SUMIF(CALCULOS!$A$4:$A$8763,$B3,CALCULOS!G$4:G$8763)/1000;*
VALOR CONSUMO PARA CALCULOS!D12;=F12+G12
VALOR CONSUMO PARA CALCULOS!D14;=F14+G14
VALOR CONSUMO PARA CALCULOS!D4;=F4+G4
CALCULOS!CX16;=SUM(CX4:CX15);*
RESULTADO GENERACIONvsCONSUMO!C15;=SUM(C3:C14);*
RESULTADO GENERACIONvsCONSUMO!D15;=SUM(D3:D14);*
CALCULOS!H12;=VALOR CONSUMO PARA CALCULOS!D12
CALCULOS!H14;=VALOR CONSUMO PARA CALCULOS!D14
CALCULOS!H4;=VALOR CONSUMO PARA CALCULOS!D4
PVPC Calculos!F4;=VALOR CONSUMO PARA CALCULOS!D4
RESULTADOS FACTURAS ESTIMADAS!R16;=CALCULOS!CX16
CALCULOS!K12;=H12
CALCULOS!L14;=H14
RESULTADOS ANÁLISIS CONSUMO!B3;=MAX(CALCULOS!H4:H747)/1000;*
RESULTADO GENERACIONvsCONSUMO!E3;=SUMIF(CALCULOS!$A$4:$A$8763,$B3,CALCULOS!H$4:H$8763)/1000;*
CALCULOS!N4;=IF(H4>M4,H4-M4,0)
CALCULOS!AV4;=SUMIFS($H$4:$H$8763,$A$4:$A$8763,AU$2,$C$4:$C$8763,$AL4)/AV$1;*
CALCULOS!J4;=H4
CALCULOS!S4;=IF(H4>M4,0,M4-H4)
CALCULOS!Y4;=IF(Y3-H4+M4>0,IF(Y3-H4+M4>DATOS ENTRADA PANELES!$B$5*1000,DATOS ENTRADA PANELES!$B$5*1000,Y3-H4+M4),0)
PVPC Calculos!V4;=F4*PVPC!$CT3/1000000
PVPC Calculos!G4;=IF(SUM($F$4:F4)<$CI$32,F4*$CI$33,F4);*
RESULTADOS FACTURAS ESTIMADAS!B22;=MAX(RESULTADOS ANÁLISIS CONSUMO!B3:B14);*
RESULTADOS ANÁLISIS CONSUMO!O3;=B3
RESULTADO GENERACIONvsCONSUMO!E15;=SUM(E3:E14);*
RESULTADOS ANÁLISIS CONSUMO!P3;=MAX(CALCULOS!N4:N747)/1000;*
RESULTADO GENERACIONvsCONSUMO!I3;=SUMIF(CALCULOS!$A$4:$A$8763,$B3,CALCULOS!N$4:N$8763)/1000;*
CALCULOS!AW4;=SUMIFS($N$4:$N$8763,$A$4:$A$8763,AU$2,$C$4:$C$8763,$AL4)/AV$1;*
CALCULOS!P4;=N4
CALCULOS!AB4;=N4
PVPC Calculos!H4;=CALCULOS!N4
RESULTADOS ANÁLISIS CONSUMO!B21;=CALCULOS!AV4
RESULTADO GENERACIONvsCONSUMO!F3;=SUMIF(CALCULOS!$A$4:$A$8763,$B3,CALCULOS!J$4:J$8763)/1000;*
RESULTADO GENERACIONvsCONSUMO!O3;=SUMIF(CALCULOS!$A$4:$A$8763,$B3,CALCULOS!S$4:S$8763)/1000;*
PVPC Calculos!M4;=CALCULOS!S4
CALCULOS!T4;=IF(AND(Y4>0,Y4<DATOS ENTRADA PANELES!$B$5*1000),DATOS ENTRADA PANELES!$D$5,IF(H4-Y3>M4,H4-M4-Y3,0))
CALCULOS!Z4;=IF(DATOS ENTRADA PANELES!$B$5=0,S4,IF(Y4=DATOS ENTRADA PANELES!$B$5*1000,CALCULOS!M4-H4-(Y4-Y3),0))
PVPC Calculos!CF3;=SUMIF($A$4:$A$8763,$AY3,V$4:V$8763);*
CALCULOS!I4;=PVPC Calculos!G4
RESULTADOS FACTURAS ESTIMADAS!B23;=MAX(RESULTADOS ANÁLISIS CONSUMO!P3:P14);*
RESULTADO GENERACIONvsCONSUMO!I15;=SUM(I3:I14);*
RESULTADOS ANÁLISIS CONSUMO!B47;=CALCULOS!AW4
RESULTADO GENERACIONvsCONSUMO!J3;=SUMIF(CALCULOS!$A$4:$A$8763,$B3,CALCULOS!P$4:P$8763)/1000;*
PVPC Calculos!J4;=CALCULOS!P4
CALCULOS!AD4;=AB4
PVPC Calculos!W4;=H4*PVPC!$CT3/1000000
RESULTADO GENERACIONvsCONSUMO!F15;=SUM(F3:F14);*
